Sim,N1,N2,T_split,mig
1,164720,5490,9219,0.1
2,101504,3383,594,0.1
3,152378,5079,11225,0.1
4,174605,5820,7456,0.0
5,153123,5104,8288,0.1
6,198765,6625,7222,0.1
7,143600,4786,9678,0.0
8,188571,6285,8384,0.0
9,165522,5517,7640,0.0
10,119063,3968,8762,0.1
11,162017,5400,3105,0.0
12,52269,1742,8192,0.0
13,182753,6091,10719,0.0
14,139881,4662,7054,0.1
15,95150,3171,8824,0.0
16,187703,6256,6798,0.1
17,145664,4855,7573,0.1
18,56512,1883,8506,0.0
19,89285,2976,7551,0.0
20,172941,5764,7919,0.0
21,83589,2786,11081,0.1
22,139525,4650,9155,0.1
23,180962,6032,10943,0.0
24,175567,5852,10312,0.1
25,59245,1974,9467,0.0
26,87721,2924,7221,0.0
27,156966,5232,8973,0.1
28,89150,2971,8305,0.0
29,72596,2419,7398,0.1
30,168622,5620,7475,0.0
31,153771,5125,6145,0.1
32,132000,4400,10164,0.0
33,81606,2720,8394,0.0
34,107932,3597,7489,0.1
35,130542,4351,4511,0.1
36,148380,4946,5107,0.0
37,92282,3076,9105,0.1
38,151251,5041,6596,0.0
39,169355,5645,7157,0.0
40,78091,2603,8258,0.0
41,53501,1783,6946,0.0
42,80435,2681,10524,0.0
43,100345,3344,10684,0.0
44,108930,3631,5373,0.1
45,162098,5403,6548,0.1
46,83691,2789,7693,0.0
47,199409,6646,8762,0.0
48,76226,2540,10399,0.1
49,190731,6357,5839,0.1
50,105537,3517,8005,0.1
51,77101,2570,12136,0.0
52,80603,2686,5321,0.1
53,188258,6275,7877,0.1
54,86937,2897,9019,0.0
55,106512,3550,4826,0.0
56,130256,4341,6933,0.0
57,180743,6024,7306,0.1
58,156452,5215,9258,0.1
59,171326,5710,8673,0.0
60,90815,3027,8817,0.1
61,112950,3765,10367,0.1
62,157246,5241,10527,0.1
63,94019,3133,5956,0.1
64,148307,4943,10491,0.1
65,170282,5676,11617,0.0
66,72037,2401,7064,0.0
67,103298,3443,6101,0.1
68,58628,1954,9947,0.1
69,163427,5447,4099,0.0
70,158789,5292,9489,0.0
71,128246,4274,7900,0.0
72,84495,2816,8265,0.1
73,187337,6244,6773,0.1
74,107192,3573,9489,0.0
75,50742,1691,9025,0.1
76,95124,3170,6781,0.0
77,184638,6154,8823,0.0
78,119392,3979,8953,0.0
79,57040,1901,9191,0.1
80,195232,6507,7969,0.1
81,194255,6475,6975,0.0
82,102877,3429,9325,0.0
83,144507,4816,6765,0.1
84,90711,3023,9281,0.0
85,187534,6251,5453,0.1
86,192371,6412,9556,0.0
87,108400,3613,4679,0.1
88,190524,6350,10091,0.1
89,103016,3433,10509,0.0
90,133851,4461,8292,0.0
91,114434,3814,6968,0.1
92,174168,5805,6876,0.1
93,74452,2481,8855,0.1
94,157980,5266,7301,0.0
95,80679,2689,6572,0.0
96,113974,3799,6311,0.0
97,132319,4410,8671,0.0
98,150235,5007,8068,0.0
99,87619,2920,6211,0.1
100,86493,2883,7624,0.1
