Sim,N1,N2,T_split,mig
1,74183,148366,2369,0.09413587326729883
2,70847,141694,3436,0.028722214359825183
3,88973,177946,2501,0.010601961557373508
4,104201,208402,3497,0.06894493176441362
5,133047,266094,3374,0.04773632998297679
6,125699,251398,3169,0.05746665616017358
7,112303,224606,2135,0.027577965529958094
8,133688,267376,3492,0.026878539010009084
9,68938,137876,2772,0.06771921890802945
10,121159,242318,3484,0.012133605912000345
11,90979,181958,3278,0.0647350215663616
12,143551,287102,2779,0.07652581419727333
13,138841,277682,3911,0.07013509166477092
14,120476,240952,2896,0.07099318568255424
15,71092,142184,3952,0.07997280520292088
16,95630,191260,2470,0.05653855305377509
17,75859,151718,3426,0.03601537906264526
18,111787,223574,3286,0.08880582540850174
19,120688,241376,3317,0.08040240832716175
20,140254,280508,3788,0.025557084428327128
21,113417,226834,2426,0.011296552559936446
22,126511,253022,2185,0.027087105415918845
23,114256,228512,2227,0.04095024917452692
24,137004,274008,2121,0.04167547526571445
25,90750,181500,2739,0.03282839882005869
26,132835,265670,3787,0.04786078666789108
27,61725,123450,2849,0.014286997968605476
28,58233,116466,2274,0.09615160972762947
29,90016,180032,3088,0.09140547892347126
30,70701,141402,2119,0.07872075295679445
31,98417,196834,3250,0.0013702061207183204
32,91689,183378,3240,0.04540587139186578
33,92918,185836,3358,0.05680757224732576
34,111350,222700,3706,0.08637700205196969
35,58447,116894,2313,0.00011320633995529628
36,74025,148050,2181,0.04086162256489872
37,95674,191348,3254,0.07984224472359518
38,107470,214940,3379,0.054898387538939865
39,83869,167738,2084,0.06445885820806412
40,68223,136446,3420,0.09516936391676017
41,115469,230938,3757,0.06267675246886428
42,128037,256074,3217,0.0398266076312912
43,146368,292736,2728,0.09775518968488874
44,66353,132706,2607,0.06499644314356653
45,72488,144976,2753,0.03671625474740625
46,125484,250968,3521,0.03136758706814515
47,69962,139924,2581,0.015728183827765464
48,68952,137904,2776,0.04467492647519777
49,75883,151766,2242,0.010358863816418585
50,77117,154234,2069,0.034731487627281156
51,78899,157798,3910,0.09414466456191954
52,120052,240104,3297,0.07894963141371984
53,118739,237478,2304,0.08577317299061611
54,59146,118292,2786,0.004726748221830679
55,121167,242334,2305,0.0436082580773171
56,82536,165072,3144,0.02955766541074545
57,113140,226280,2889,0.056614947795996476
58,54943,109886,2580,0.049482209109651724
59,52282,104564,3661,0.05888314282306578
60,121367,242734,2485,0.0974077368725497
61,78525,157050,3847,0.019153279862357334
62,75228,150456,2785,0.07396645562477595
63,104597,209194,2247,0.05148118022625993
64,125753,251506,3511,0.002319249821336922
65,62261,124522,2484,0.006389775728155567
66,70443,140886,2885,0.09368908301539733
67,75113,150226,3947,0.04297940016458697
68,84077,168154,2522,0.0826962096071064
69,122795,245590,2169,0.07300631492761976
70,136770,273540,3883,0.07815629504522383
71,141627,283254,3619,0.02239634828552437
72,111151,222302,2956,0.045565984318474244
73,53205,106410,3807,0.047246883820949465
74,138020,276040,3201,0.0036912864950635286
75,122590,245180,2383,0.05096865359431425
76,103473,206946,3673,0.004483339104598561
77,112959,225918,3378,0.05482416521375218
78,89145,178290,2968,0.04449090526067624
79,61847,123694,3430,0.011784839233355516
80,71103,142206,2986,0.09765498493632674
81,114380,228760,3612,0.0020121919346581473
82,87664,175328,3333,0.03937136171285204
83,75172,150344,3730,0.05304640932399001
84,141658,283316,2351,0.019510978264993817
85,78098,156196,3654,0.0518052314877585
86,90533,181066,3496,0.014059400282430058
87,118091,236182,3096,0.031753874406761196
88,89425,178850,3898,0.077634191300958
89,73729,147458,2784,0.0927692857164989
90,86019,172038,2548,0.010525340553814579
91,128481,256962,3085,0.060627292761210275
92,103322,206644,3601,0.02718761807594221
93,131660,263320,2480,0.008302013298245281
94,68253,136506,2076,0.05253529257296237
95,97576,195152,3347,0.01216458172065098
96,134937,269874,3151,0.055641016519107994
97,95913,191826,2702,0.06040377945363597
98,102084,204168,2343,0.01325800958457104
99,147806,295612,2253,0.09090542395108951
100,76693,153386,2129,0.08647692102253031
