N1,N2,T_split,mig,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
75000.0,150000.0,300,0.1,-0.0002591468757608961,0.006947282581916717,0.040573333333333336,0.04834666666666667,0.0069452631053918395,0.006956505391467367,-0.09426268930382556,-0.17474408984521383
75000.0,150000.0,328,0.1,-4.094019740352728e-05,0.0070562078098053704,0.04099333333333333,0.04885333333333333,0.007056225248142098,0.007057345948940826,-0.07652193251137936,-0.16314213506692984
75000.0,150000.0,352,0.1,-8.76288898243871e-05,0.007119706105773181,0.04122666666666667,0.04962,0.0071169060801037996,0.00712500191791326,-0.06725769871381397,-0.18076697384579696
75000.0,150000.0,237,0.1,-0.0003069975357881116,0.006967381641619463,0.04004,0.04784,0.006987739039353662,0.006955582747304215,-0.03206778350343142,-0.1442141029661771
75000.0,150000.0,261,0.1,-0.00015664135287662972,0.006854180832717429,0.03964666666666666,0.04733333333333333,0.0068736630255873945,0.006838993905297643,-0.05339956430020896,-0.1626124510391038
75000.0,150000.0,320,0.1,-3.422424049737138e-05,0.006811830602775735,0.04067333333333333,0.048793333333333334,0.006813475485061681,0.006811118271320741,-0.16241612054188434,-0.26192959297718404
75000.0,150000.0,398,0.1,0.0001373389500575195,0.007250575264843515,0.04136666666666667,0.05032,0.007256255174821736,0.007240912756254462,-0.015423018750548636,-0.17456016955294154
75000.0,150000.0,283,0.1,0.00015286431718430915,0.006663896485176973,0.039933333333333335,0.04782,0.0066616000798045425,0.006662118825384622,-0.1754260599597856,-0.2674971508139985
75000.0,150000.0,268,0.1,-0.00020035275197605174,0.007117655929210785,0.04106666666666667,0.04883333333333333,0.007127979450346697,0.007113037718961758,-0.04971698261382667,-0.13880156596724816
75000.0,150000.0,258,0.1,0.00019873658568347885,0.0068706162232076776,0.04046,0.047406666666666666,0.006873671006035282,0.006862100754379197,-0.1182763402876878,-0.1572578668351533
